,Grid Names,West Boundary,East Boundary,North Boundary,South Boundary,geometry,Speed_Limit,Traffic_Volume,Traffic_Cameras,Traffic_Signals,Traffic_Signs,Accidents
0,grid00,-114.315796,-114.2702069,51.212425,51.175464700000006,"POLYGON ((-114.315796 51.212425, -114.315796 51.17546470000001, -114.2702069 51.17546470000001, -114.2702069 51.212425, -114.315796 51.212425))",,,0.0,0.0,0.0,0.0
1,grid01,-114.315796,-114.2702069,51.175464700000006,51.1385044,"POLYGON ((-114.315796 51.17546470000001, -114.315796 51.1385044, -114.2702069 51.1385044, -114.2702069 51.17546470000001, -114.315796 51.17546470000001))",,,0.0,0.0,0.0,0.0
2,grid02,-114.315796,-114.2702069,51.1385044,51.1015441,"POLYGON ((-114.315796 51.1385044, -114.315796 51.1015441, -114.2702069 51.1015441, -114.2702069 51.1385044, -114.315796 51.1385044))",,,0.0,0.0,26.0,1.0
3,grid03,-114.315796,-114.2702069,51.1015441,51.0645838,"POLYGON ((-114.315796 51.1015441, -114.315796 51.0645838, -114.2702069 51.0645838, -114.2702069 51.1015441, -114.315796 51.1015441))",109.99999999999999,0.0,0.0,0.0,116.0,6.0
4,grid04,-114.315796,-114.2702069,51.0645838,51.027623500000004,"POLYGON ((-114.315796 51.0645838, -114.315796 51.0276235, -114.2702069 51.0276235, -114.2702069 51.0645838, -114.315796 51.0645838))",,,0.0,0.0,0.0,0.0
5,grid05,-114.315796,-114.2702069,51.027623500000004,50.9906632,"POLYGON ((-114.315796 51.0276235, -114.315796 50.9906632, -114.2702069 50.9906632, -114.2702069 51.0276235, -114.315796 51.0276235))",,,0.0,0.0,0.0,0.0
6,grid06,-114.315796,-114.2702069,50.9906632,50.953702899999996,"POLYGON ((-114.315796 50.9906632, -114.315796 50.9537029, -114.2702069 50.9537029, -114.2702069 50.9906632, -114.315796 50.9906632))",,,0.0,0.0,0.0,0.0
7,grid07,-114.315796,-114.2702069,50.953702899999996,50.9167426,"POLYGON ((-114.315796 50.9537029, -114.315796 50.9167426, -114.2702069 50.9167426, -114.2702069 50.9537029, -114.315796 50.9537029))",,,0.0,0.0,0.0,0.0
8,grid08,-114.315796,-114.2702069,50.9167426,50.8797823,"POLYGON ((-114.315796 50.9167426, -114.315796 50.8797823, -114.2702069 50.8797823, -114.2702069 50.9167426, -114.315796 50.9167426))",,,0.0,0.0,0.0,0.0
9,grid09,-114.315796,-114.2702069,50.8797823,50.842822,"POLYGON ((-114.315796 50.8797823, -114.315796 50.842822, -114.2702069 50.842822, -114.2702069 50.8797823, -114.315796 50.8797823))",,,0.0,0.0,0.0,0.0
10,grid10,-114.2702069,-114.2246178,51.212425,51.175464700000006,"POLYGON ((-114.2702069 51.212425, -114.2702069 51.17546470000001, -114.2246178 51.17546470000001, -114.2246178 51.212425, -114.2702069 51.212425))",75.54254587140059,0.0,0.0,0.0,18.0,0.0
11,grid11,-114.2702069,-114.2246178,51.175464700000006,51.1385044,"POLYGON ((-114.2702069 51.17546470000001, -114.2702069 51.1385044, -114.2246178 51.1385044, -114.2246178 51.17546470000001, -114.2702069 51.17546470000001))",66.80547984577144,0.0,0.0,7.0,1480.0,35.0
12,grid12,-114.2702069,-114.2246178,51.1385044,51.1015441,"POLYGON ((-114.2702069 51.1385044, -114.2702069 51.1015441, -114.2246178 51.1015441, -114.2246178 51.1385044, -114.2702069 51.1385044))",66.5825806532304,0.0,0.0,10.0,2206.0,71.0
13,grid13,-114.2702069,-114.2246178,51.1015441,51.0645838,"POLYGON ((-114.2702069 51.1015441, -114.2702069 51.0645838, -114.2246178 51.0645838, -114.2246178 51.1015441, -114.2702069 51.1015441))",79.01869063344985,0.0,0.0,0.0,893.0,64.0
14,grid14,-114.2702069,-114.2246178,51.0645838,51.027623500000004,"POLYGON ((-114.2702069 51.0645838, -114.2702069 51.0276235, -114.2246178 51.0276235, -114.2246178 51.0645838, -114.2702069 51.0645838))",60.0,0.0,0.0,0.0,63.0,8.0
15,grid15,-114.2702069,-114.2246178,51.027623500000004,50.9906632,"POLYGON ((-114.2702069 51.0276235, -114.2702069 50.9906632, -114.2246178 50.9906632, -114.2246178 51.0276235, -114.2702069 51.0276235))",67.61675226300227,0.0,0.0,0.0,68.0,2.0
16,grid16,-114.2702069,-114.2246178,50.9906632,50.953702899999996,"POLYGON ((-114.2702069 50.9906632, -114.2702069 50.9537029, -114.2246178 50.9537029, -114.2246178 50.9906632, -114.2702069 50.9906632))",,,0.0,0.0,0.0,0.0
17,grid17,-114.2702069,-114.2246178,50.953702899999996,50.9167426,"POLYGON ((-114.2702069 50.9537029, -114.2702069 50.9167426, -114.2246178 50.9167426, -114.2246178 50.9537029, -114.2702069 50.9537029))",,,0.0,0.0,0.0,0.0
18,grid18,-114.2702069,-114.2246178,50.9167426,50.8797823,"POLYGON ((-114.2702069 50.9167426, -114.2702069 50.8797823, -114.2246178 50.8797823, -114.2246178 50.9167426, -114.2702069 50.9167426))",,,0.0,0.0,0.0,0.0
19,grid19,-114.2702069,-114.2246178,50.8797823,50.842822,"POLYGON ((-114.2702069 50.8797823, -114.2702069 50.842822, -114.2246178 50.842822, -114.2246178 50.8797823, -114.2702069 50.8797823))",,,0.0,0.0,0.0,0.0
20,grid20,-114.2246178,-114.1790287,51.212425,51.175464700000006,"POLYGON ((-114.2246178 51.212425, -114.2246178 51.17546470000001, -114.1790287 51.17546470000001, -114.1790287 51.212425, -114.2246178 51.212425))",72.03881531102913,0.0,0.0,0.0,84.0,4.0
21,grid21,-114.2246178,-114.1790287,51.175464700000006,51.1385044,"POLYGON ((-114.2246178 51.17546470000001, -114.2246178 51.1385044, -114.1790287 51.1385044, -114.1790287 51.17546470000001, -114.2246178 51.17546470000001))",69.10390833203243,0.0,1.0,10.0,1341.0,113.0
22,grid22,-114.2246178,-114.1790287,51.1385044,51.1015441,"POLYGON ((-114.2246178 51.1385044, -114.2246178 51.1015441, -114.1790287 51.1015441, -114.1790287 51.1385044, -114.2246178 51.1385044))",67.67765052044946,0.0,1.0,39.0,4375.0,229.0
23,grid23,-114.2246178,-114.1790287,51.1015441,51.0645838,"POLYGON ((-114.2246178 51.1015441, -114.2246178 51.0645838, -114.1790287 51.0645838, -114.1790287 51.1015441, -114.2246178 51.1015441))",68.10141183838753,0.0,1.0,17.0,3430.0,118.0
